year,sector_key,level,total_emp,resident_emp,nonresident_emp,nonresident_share_pct,gdp_million_sgd,gdp_per_worker_thousand_sgd,data_source
2017,professional,2,238.1,170.8,67.3,28.27,26605.9,111.74,direct
2017,real_estate,2,80.1,57.6,22.5,28.09,15606.8,194.84,direct
2017,transport_storage,2,250.8,195.9,54.9,21.89,32322.5,128.88,direct
2017,wholesale_retail,2,490.3,356.2,134.1,27.35,82027.3,167.3,direct
2018,construction,1,443.6,104.4,339.2,76.47,17780.1,40.08,direct
2018,manufacturing,1,488.0,227.8,260.2,53.32,105098.4,215.37,direct
2018,others,1,26.2,21.6,4.6,17.56,,,direct
2018,services,1,2757.0,1849.9,907.1,32.9,336555.4,122.07,direct
2018,accomm_food,2,259.5,134.4,125.1,48.21,9958.2,38.37,direct
2018,admin_support,2,246.2,117.9,128.3,52.11,26913.1,109.31,direct
2018,community_social,2,833.8,,,,52981.5,63.54,direct
2018,info_comms,2,147.1,94.1,53.0,36.03,20015.5,136.07,direct
2018,mfg_electronics,2,91.5,,,,,,direct
2018,mfg_food_bev,2,51.4,,,,,,direct
2018,mfg_metal_machinery,2,97.8,,,,,,direct
2018,mfg_other,2,63.6,,,,,,direct
2018,mfg_paper_rubber,2,29.8,,,,,,direct
2018,mfg_petrochem,2,62.3,,,,,,direct
2018,mfg_transport_equip,2,91.6,,,,,,direct
2018,professional,2,245.0,174.4,70.6,28.82,27470.6,112.12,direct
2018,real_estate,2,80.9,54.0,26.9,33.25,16137.5,199.47,direct
2018,transport_storage,2,258.3,199.0,59.3,22.96,31226.7,120.89,direct
2018,wholesale_retail,2,490.6,352.5,138.1,28.15,88985.4,181.38,direct
2019,construction,1,454.5,98.0,356.5,78.44,17984.2,39.57,direct
2019,manufacturing,1,487.2,214.4,272.8,55.99,99246.7,203.71,direct
2019,others,1,26.1,23.5,2.6,9.96,,,direct
2019,services,1,2816.5,1894.5,922.0,32.74,346153.4,122.9,direct
2019,accomm_food,2,271.0,131.8,139.2,51.37,10127.7,37.37,direct
2019,admin_support,2,253.0,120.0,133.0,52.57,21786.1,86.11,direct
2019,community_social,2,853.6,,,,54705.6,64.09,direct
2019,info_comms,2,154.8,102.6,52.2,33.72,22761.5,147.04,direct
2019,mfg_electronics,2,87.8,,,,,,direct
2019,mfg_food_bev,2,52.5,,,,,,direct
2019,mfg_metal_machinery,2,96.5,,,,,,direct
2019,mfg_other,2,63.3,,,,,,direct
2019,mfg_paper_rubber,2,28.9,,,,,,direct
2019,mfg_petrochem,2,63.1,,,,,,direct
2019,mfg_transport_equip,2,94.9,,,,,,direct
2019,professional,2,255.1,181.5,73.6,28.85,30005.7,117.62,direct
2019,real_estate,2,81.0,48.7,32.3,39.88,16648.9,205.54,direct
2019,transport_storage,2,262.2,205.5,56.7,21.62,31669.6,120.78,direct
2019,wholesale_retail,2,484.4,356.0,128.4,26.51,90567.7,186.97,direct
2020,construction,1,403.6,97.2,306.4,75.92,11004.9,27.27,direct
2020,manufacturing,1,451.2,213.0,238.2,52.79,95263.9,211.13,direct
2020,others,1,26.0,21.2,4.8,18.46,,,direct
2020,services,1,2722.5,1891.3,831.2,30.53,330861.6,121.53,direct
2020,accomm_food,2,247.7,128.9,118.8,47.96,7256.6,29.3,direct
2020,admin_support,2,237.8,128.3,109.5,46.05,17775.2,74.75,direct
2020,community_social,2,835.3,,,,49346.9,59.08,direct
2020,info_comms,2,157.6,111.4,46.2,29.31,26341.9,167.14,direct
2020,mfg_electronics,2,83.2,,,,,,direct
2020,mfg_food_bev,2,50.0,,,,,,direct
2020,mfg_metal_machinery,2,89.9,,,,,,direct
2020,mfg_other,2,59.2,,,,,,direct
2020,mfg_paper_rubber,2,26.6,,,,,,direct
2020,mfg_petrochem,2,58.8,,,,,,direct
2020,mfg_transport_equip,2,83.6,,,,,,direct
2020,professional,2,252.2,181.4,70.8,28.07,28268.1,112.09,direct
2020,real_estate,2,74.4,49.8,24.6,33.06,13378.6,179.82,direct
2020,transport_storage,2,253.5,214.8,38.7,15.27,30079.3,118.66,direct
2020,wholesale_retail,2,459.8,335.1,124.7,27.12,89547.9,194.75,direct
2021,construction,1,405.7,98.4,307.3,75.75,16987.6,41.87,direct
2021,manufacturing,1,449.9,212.1,237.8,52.86,122149.2,271.5,direct
2021,others,1,24.3,23.4,0.9,3.7,,,direct
2021,services,1,2749.7,1952.6,797.1,28.99,397619.7,144.6,direct
2021,accomm_food,2,243.1,125.2,117.9,48.5,7571.8,31.15,direct
2021,admin_support,2,241.6,120.0,121.6,50.33,16723.6,69.22,direct
2021,community_social,2,844.8,,,,53509.1,63.34,direct
2021,info_comms,2,172.9,120.4,52.5,30.36,30732.8,177.75,direct
2021,mfg_electronics,2,80.7,,,,,,direct
2021,mfg_food_bev,2,50.8,,,,,,direct
2021,mfg_metal_machinery,2,89.8,,,,,,direct
2021,mfg_other,2,59.9,,,,,,direct
2021,mfg_paper_rubber,2,25.6,,,,,,direct
2021,mfg_petrochem,2,63.1,,,,,,direct
2021,mfg_transport_equip,2,79.9,,,,,,direct
2021,professional,2,261.4,196.5,64.9,24.83,30735.8,117.58,direct
2021,real_estate,2,72.8,51.0,21.8,29.95,16167.2,222.08,direct
2021,transport_storage,2,252.7,200.6,52.1,20.62,53674.4,212.4,direct
2021,wholesale_retail,2,449.4,338.6,110.8,24.66,113548.5,252.67,direct
2022,construction,1,497.1,97.7,399.4,80.35,21154.5,42.56,direct
2022,manufacturing,1,485.2,224.9,260.3,53.65,139656.1,287.83,direct
2022,others,1,24.4,21.9,2.5,10.25,,,direct
2022,services,1,2883.1,2006.0,877.1,30.42,487480.8,169.08,direct
2022,accomm_food,2,262.4,126.6,135.8,51.75,10304.7,39.27,direct
2022,admin_support,2,241.9,120.3,121.6,50.27,18610.8,76.94,direct
2022,community_social,2,893.6,,,,58126.2,65.05,direct
2022,info_comms,2,187.8,132.8,55.0,29.29,32181.8,171.36,direct
2022,mfg_electronics,2,85.6,,,,,,direct
2022,mfg_food_bev,2,58.9,,,,,,direct
2022,mfg_metal_machinery,2,92.8,,,,,,direct
2022,mfg_other,2,61.3,,,,,,direct
2022,mfg_paper_rubber,2,26.5,,,,,,direct
2022,mfg_petrochem,2,74.9,,,,,,direct
2022,mfg_transport_equip,2,85.3,,,,,,direct
2022,professional,2,278.3,197.6,80.7,29.0,35244.5,126.64,direct
2022,real_estate,2,77.1,59.7,17.4,22.57,18346.5,237.96,direct
2022,transport_storage,2,264.0,207.4,56.6,21.44,83044.2,314.56,direct
2022,wholesale_retail,2,456.4,351.8,104.6,22.92,149377.3,327.29,direct
2023,construction,1,526.2,94.3,431.9,82.08,25483.2,48.43,direct
2023,manufacturing,1,487.0,212.0,275.0,56.47,114847.6,235.83,direct
2023,others,1,24.8,21.3,3.5,14.11,,,direct
2023,services,1,2948.3,2024.8,923.5,31.32,474115.3,160.81,direct
2023,accomm_food,2,268.5,139.5,129.0,48.04,12514.4,46.61,direct
2023,admin_support,2,243.4,125.2,118.2,48.56,16778.7,68.93,direct
2023,community_social,2,933.9,,,,64012.2,68.54,direct
2023,info_comms,2,181.9,136.0,45.9,25.23,36579.8,201.1,direct
2023,mfg_electronics,2,79.1,,,,,,direct
2023,mfg_food_bev,2,62.2,,,,,,direct
2023,mfg_metal_machinery,2,94.0,,,,,,direct
2023,mfg_other,2,64.1,,,,,,direct
2023,mfg_paper_rubber,2,25.9,,,,,,direct
2023,mfg_petrochem,2,75.5,,,,,,direct
2023,mfg_transport_equip,2,86.0,,,,,,direct
2023,professional,2,284.6,199.8,84.8,29.8,37102.8,130.37,direct
2023,real_estate,2,78.9,57.2,21.7,27.5,19252.5,244.01,direct
2023,transport_storage,2,263.3,214.3,49.0,18.61,54213.4,205.9,direct
2023,wholesale_retail,2,462.9,335.8,127.1,27.46,141725.7,306.17,direct
2024,construction,1,539.5,102.9,436.6,80.93,27940.0,51.79,direct
2024,manufacturing,1,486.0,212.2,273.8,56.34,124455.3,256.08,direct
2024,others,1,26.3,22.2,4.1,15.59,,,direct
2024,services,1,2994.3,2028.2,966.1,32.26,531497.2,177.5,direct
